Dataset,KNN,CNNLoc,ELM,CNN-ELM,KNN_T,CNNLoc_T,ELM_T,CNN-ELM_T
LIB1,99.199,99.583,99.615,99.935897,0.132779,0.426008,0.03514,0.098479
LIB2,99.808,98.109,98.686,99.102564,0.097241,0.460827,0.046373,0.04645
TUT1,90.816,88.571,89.183673,91.22449,0.055879,0.457816,0.028728,0.029773
TUT2,94.318,92.045,89.772727,92.05,0.023898,0.193393,0.023648,0.028315
TUT3,91.597,88.94,93.216907,93.267527,0.194885,0.71665,0.097395,0.101698
TUT4,94.692,90.961,94.261119,95.839311,0.175354,0.246532,0.029121,0.03016
TUT5,96.843,98.065,97.556,98.27,0.035456,0.281585,0.027659,0.026566
TUT6,99.656,99.766,99.614803,99.53226,0.847919,1.158236,0.064834,0.132408
TUT7,98.355,95.526,97.555351,97.586101,0.823281,0.957321,0.053597,0.065422
UJI1,92.169,95.14,86.408641,92.26,0.69456,0.64861,0.027409,0.033886
UJI2,91.311,86.233,89.97876,92.89,2.960237,0.776133,0.048176,0.041819
UTS1,94.072,86.082,93.041237,95.360825,0.154135,0.536926,0.028364,0.060885